Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,112,0,0,0,100.000000,0,0.000000,1,0.892857,0,0,0,1,112,1,2
0,1703,4864,2.86,108992,0,1671,0,98.442989,0,0.000000,18002,16.773977,807,665,142,1703,107321,18732,19533
0,1852,5286,2.85,118528,0,719,0,99.389690,0,0.000000,19207,16.303508,369,327,42,1852,117809,19463,20508
0,1859,5345,2.88,118976,0,1571,0,98.661897,0,0.000000,18623,15.862186,709,606,103,1859,117405,19127,19848
0,1857,5336,2.87,118848,0,1096,0,99.069230,0,0.000000,18760,15.931789,515,462,53,1857,117752,19120,20354
0,1845,5279,2.86,118080,0,763,0,99.349625,0,0.000000,18603,15.857037,445,399,46,1845,117317,18887,19540
0,1854,5339,2.88,118656,0,1304,0,98.888813,0,0.000000,18768,15.992910,661,601,60,1854,117352,19258,19958
0,1853,5321,2.87,118592,0,1157,0,99.014774,0,0.000000,18722,15.942436,576,506,70,1853,117435,19118,20037
0,1855,5347,2.88,118720,0,1135,0,99.034741,0,0.000000,18727,15.926351,581,530,51,1855,117585,19123,20009
0,1851,5353,2.89,118464,0,1184,0,98.990450,0,0.000000,18821,16.047920,561,504,57,1851,117280,19239,20058
0,1850,5318,2.87,118338,0,1341,0,98.853817,0,0.000000,18605,15.902117,660,596,64,1850,116997,19139,19537
