Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,112,0,0,0,100.000000,0,0.000000,2,1.785714,0,0,0,1,112,2,0
0,1694,4784,2.82,108416,0,5286,0,94.874430,0,0.000000,16134,15.644332,2390,2039,351,1694,103130,18418,17787
0,1851,5252,2.84,118464,0,5403,0,95.221164,0,0.000000,17420,15.407612,2407,2058,349,1851,113061,19360,18904
0,1856,5274,2.84,118784,0,5383,0,95.253128,0,0.000000,16888,14.892285,2304,1951,353,1856,113401,18922,18519
0,1857,5260,2.83,118848,0,5928,0,94.750266,0,0.000000,16780,14.860078,2509,2093,416,1857,112920,18672,18486
0,1849,5244,2.84,118336,0,4958,0,95.627018,0,0.000000,16911,14.915592,2129,1800,329,1849,113378,18609,18455
0,1853,5255,2.84,118592,0,5745,0,94.909036,0,0.000000,16663,14.766011,2392,2044,348,1853,112847,18813,18042
0,1852,5227,2.82,118528,0,4753,0,95.822457,0,0.000000,17040,14.976928,2021,1732,289,1852,113775,18788,18633
0,1856,5280,2.84,118784,0,6112,0,94.575405,0,0.000000,16936,15.031241,2586,2202,384,1856,112672,18864,18546
0,1856,5274,2.84,118784,0,6179,0,94.512677,0,0.000000,16836,14.951379,2479,2089,390,1856,112605,18908,18425
0,1847,5236,2.83,118126,0,5060,0,95.524738,0,0.000000,16906,14.952329,2278,2017,261,1847,113066,18628,18157
