Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,496,0,0,0,100.000000,0,0.000000,31,6.250000,0,0,0,1,496,31,26
0,434,1290,2.97,111104,0,8196,0,92.035605,0,0.000000,16151,15.694601,2882,2115,767,434,102908,19355,18833
0,473,1406,2.97,121088,0,7975,0,92.949528,0,0.000000,17401,15.383731,2925,2240,685,473,113113,20341,19620
0,470,1391,2.96,120320,0,7185,0,93.649180,0,0.000000,16857,14.899898,2648,2051,597,470,113135,19367,19071
0,472,1408,2.98,120832,0,7972,0,92.936381,0,0.000000,16763,14.852915,2806,2137,669,472,112860,19573,19057
0,471,1396,2.96,120576,0,6919,0,93.912386,0,0.000000,16943,14.907133,2514,1941,573,471,113657,19277,19005
0,471,1407,2.99,120576,0,7769,0,93.113016,0,0.000000,16664,14.772133,2819,2170,649,471,112807,19372,18861
0,473,1411,2.98,121088,0,7569,0,93.332394,0,0.000000,17019,14.992204,2768,2106,662,473,113519,19545,19484
0,472,1405,2.98,120832,0,8039,0,92.872785,0,0.000000,16894,14.977880,2876,2211,665,472,112793,19544,19123
0,471,1404,2.98,120576,0,8099,0,92.799417,0,0.000000,16837,14.969283,2918,2306,612,471,112477,19569,18922
0,473,1400,2.96,120890,0,7638,0,93.255748,0,0.000000,16921,14.941016,2705,2076,629,473,113252,19449,19066
