Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,48,0,0,0,100.000000,0,0.000000,2,4.166667,0,0,0,1,48,2,0
0,3379,8688,2.57,108128,0,5042,0,95.108938,0,0.000000,16125,15.642279,2400,2058,342,3379,103086,18301,17615
0,3695,9485,2.57,118240,0,5142,0,95.453501,0,0.000000,17402,15.386656,2354,2032,322,3695,113098,19422,18760
0,3706,9507,2.57,118592,0,5162,0,95.449176,0,0.000000,16942,14.936084,2227,1881,346,3706,113430,18510,18515
0,3713,9558,2.57,118816,0,5917,0,94.759032,0,0.000000,16759,14.844241,2505,2091,414,3713,112899,18633,18542
0,3693,9478,2.57,118176,0,4823,0,95.745150,0,0.000000,16907,14.915353,2117,1846,271,3693,113353,18559,18423
0,3698,9453,2.56,118336,0,5491,0,95.134033,0,0.000000,16637,14.743232,2369,2030,339,3698,112845,18671,18036
0,3700,9546,2.58,118400,0,4680,0,95.884629,0,0.000000,17002,14.950756,1955,1689,266,3700,113720,18674,18648
0,3710,9619,2.59,118720,0,6076,0,94.606015,0,0.000000,16968,15.063386,2373,2003,370,3710,112644,19216,18480
0,3717,9697,2.61,118944,0,6342,0,94.367773,0,0.000000,16805,14.924246,2682,2222,460,3717,112602,18971,18583
0,3701,9507,2.57,118405,0,5024,0,95.568922,0,0.000000,16933,14.934601,2332,2087,245,3701,113381,18691,18403
