Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,112,0,0,0,100.000000,0,0.000000,0,0.000000,0,0,0,1,112,0,3
0,1703,4864,2.86,108992,0,1564,0,98.544141,0,0.000000,18283,17.018841,721,605,116,1703,107428,18881,19874
0,1852,5286,2.85,118528,0,1443,0,98.767562,0,0.000000,19629,16.764744,693,609,84,1852,117085,20207,20593
0,1859,5345,2.88,118976,0,1449,0,98.767092,0,0.000000,19046,16.205638,722,638,84,1859,117527,19714,20174
0,1857,5336,2.87,118848,0,1686,0,98.560967,0,0.000000,19166,16.358546,817,728,89,1857,117162,19952,20335
0,1845,5279,2.86,118080,0,765,0,99.347909,0,0.000000,19043,16.232366,412,368,44,1845,117315,19311,19943
0,1854,5339,2.88,118656,0,1019,0,99.133776,0,0.000000,19097,16.233838,507,451,56,1854,117637,19465,20317
0,1853,5321,2.87,118592,0,1688,0,98.556080,0,0.000000,19113,16.349312,806,739,67,1853,116904,19755,19983
0,1855,5347,2.88,118720,0,1083,0,99.079371,0,0.000000,19170,16.295893,585,535,50,1855,117637,19568,20236
0,1851,5353,2.89,118464,0,908,0,99.227602,0,0.000000,19025,16.183776,450,407,43,1851,117556,19417,20122
0,1850,5318,2.87,118289,0,592,0,99.497014,0,0.000000,18987,16.132102,314,280,34,1850,117697,19195,20085
