Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,2032,0,50,0,97.477296,0,0.000000,275,13.874874,16,11,5,1,1982,299,313
0,112,335,2.99,114688,0,13124,0,87.078099,0,0.000000,15895,15.650230,3681,2399,1282,112,101564,20921,20162
0,124,368,2.97,126976,0,13370,0,88.231255,0,0.000000,17412,15.326655,3957,2629,1328,124,113606,22272,21489
0,127,381,3.00,130048,0,17422,0,84.531103,0,0.000000,16780,14.898869,3934,2416,1518,127,112626,22648,21866
0,142,424,2.99,145408,0,31589,0,72.246286,0,0.000000,16944,14.886794,5246,2730,2516,142,113819,27050,26661
0,125,374,2.99,128000,0,15128,0,86.597207,0,0.000000,16768,14.855766,3822,2387,1435,125,112872,21674,21319
0,126,377,2.99,129024,0,16061,0,85.782070,0,0.000000,16722,14.803077,3759,2410,1349,126,112963,21744,21614
0,129,387,3.00,132096,0,18829,0,83.376447,0,0.000000,17052,15.054694,4381,2594,1787,129,113267,23342,22730
0,130,390,3.00,133120,0,20875,0,81.402290,0,0.000000,16800,14.967259,4548,2601,1947,130,112245,23398,22758
0,131,393,3.00,134144,0,20569,0,81.889500,0,0.000000,16978,14.948712,4383,2638,1745,131,113575,23704,23055
0,129,384,2.98,131157,0,18449,0,83.631153,0,0.000000,16895,14.990063,4038,2503,1535,129,112708,22805,22334
