Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,16368,0,1500,0,89.911219,0,0.000000,2512,16.895346,436,286,150,1,14868,3132,3147
0,13,39,3.00,106496,0,11936,0,87.377327,0,0.000000,15761,16.667724,3064,1689,1375,13,94560,20033,20775
0,16,48,3.00,131072,0,14435,0,87.623996,0,0.000000,18944,16.241844,3484,1836,1648,16,116637,23714,24834
0,16,48,3.00,131072,0,13441,0,88.573590,0,0.000000,18801,15.983032,3276,1889,1387,16,117631,23369,24359
0,17,51,3.00,139264,0,16808,0,86.274254,0,0.000000,19394,15.837525,3594,1943,1651,17,122456,24894,25929
0,16,48,3.00,131072,0,14945,0,87.130469,0,0.000000,18564,15.985946,3386,1808,1578,16,116127,23476,24229
0,16,48,3.00,131072,0,13864,0,88.171456,0,0.000000,18573,15.846188,3196,1710,1486,16,117208,23011,23960
0,16,48,3.00,131072,0,12926,0,89.059300,0,0.000000,18757,15.876119,3021,1691,1330,16,118146,23291,23734
0,16,48,3.00,131072,0,12545,0,89.415914,0,0.000000,19052,16.073975,2938,1742,1196,16,118527,23100,23833
0,15,45,3.00,122880,0,10468,0,90.687827,0,0.000000,17893,15.917340,2741,1674,1067,15,112412,21241,21861
0,16,47,2.94,128389,0,13361,0,88.384567,0,0.000000,18232,15.850054,3243,1894,1349,16,115028,22530,23046
