Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,496,0,0,0,100.000000,0,0.000000,28,5.645161,0,0,0,1,496,28,31
0,434,1290,2.97,111104,0,8939,0,91.250428,0,0.000000,16841,16.484119,3239,2419,820,434,102165,20551,19361
0,473,1406,2.97,121088,0,8073,0,92.856700,0,0.000000,18271,16.166881,2976,2290,686,473,113015,21247,20552
0,470,1391,2.96,120320,0,7516,0,93.337116,0,0.000000,17796,15.776036,2848,2247,601,470,112804,20760,19769
0,472,1408,2.98,120832,0,8258,0,92.664381,0,0.000000,17689,15.713220,3063,2429,634,472,112574,20899,19902
0,471,1396,2.96,120576,0,7536,0,93.333333,0,0.000000,17789,15.736907,2796,2169,627,471,113040,20661,19419
0,471,1407,2.99,120576,0,8357,0,92.552954,0,0.000000,17677,15.752234,3016,2335,681,471,112219,20701,19826
0,473,1411,2.98,121088,0,8175,0,92.759912,0,0.000000,17873,15.829001,2994,2390,604,473,112913,20935,19812
0,472,1405,2.98,120832,0,9063,0,91.891312,0,0.000000,17567,15.717238,3257,2538,719,472,111769,20803,19399
0,471,1404,2.98,120576,0,7848,0,93.038109,0,0.000000,17759,15.753850,2940,2366,574,471,112728,20621,19808
0,473,1400,2.96,120898,0,7892,0,93.016300,0,0.000000,17733,15.692087,2847,2244,603,473,113006,20453,19747
