Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,112,0,0,0,100.000000,0,0.000000,3,2.678571,0,0,0,1,112,3,1
0,1703,4864,2.86,108992,0,6335,0,93.828964,0,0.000000,16870,16.433365,2742,2237,505,1703,102657,19622,18472
0,1852,5286,2.85,118528,0,5630,0,95.013198,0,0.000000,18225,16.142890,2559,2181,378,1852,112898,20539,19528
0,1859,5345,2.88,118976,0,5932,0,94.752486,0,0.000000,17810,15.754927,2493,2137,356,1859,113044,20166,19151
0,1857,5336,2.87,118848,0,6030,0,94.655108,0,0.000000,17763,15.744828,2588,2264,324,1857,112818,20445,19111
0,1845,5279,2.86,118080,0,5435,0,95.175108,0,0.000000,17743,15.751254,2326,1973,353,1845,112645,19881,18818
0,1854,5339,2.88,118656,0,6031,0,94.645061,0,0.000000,17674,15.692786,2499,2114,385,1854,112625,19942,19102
0,1853,5321,2.87,118592,0,5914,0,94.751416,0,0.000000,17811,15.806990,2445,2105,340,1853,112678,19989,19017
0,1855,5347,2.88,118720,0,6499,0,94.208749,0,0.000000,17663,15.739478,2709,2358,351,1855,112221,20113,18901
0,1851,5353,2.89,118464,0,5989,0,94.675261,0,0.000000,17747,15.778617,2460,2134,326,1851,112475,20035,19100
0,1850,5318,2.87,118292,0,5047,0,95.543291,0,0.000000,17718,15.645724,2258,1987,271,1850,113245,19600,18861
