Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,32752,0,3102,0,89.537943,0,0.000000,5017,16.920742,952,642,310,1,29650,6335,6441
0,6,18,3.00,98304,0,12264,0,85.746165,0,0.000000,14409,16.746862,2876,1523,1353,6,86040,18817,19059
0,8,24,3.00,131072,0,17875,0,84.208945,0,0.000000,18314,16.178874,3653,1979,1674,8,113197,24426,24466
0,9,27,3.00,147456,0,18980,0,85.226813,0,0.000000,20527,15.977303,3776,2077,1699,9,128476,26897,27374
0,8,24,3.00,131072,0,18829,0,83.224789,0,0.000000,17838,15.892305,3527,1950,1577,8,112243,24286,24906
0,8,24,3.00,131072,0,17928,0,84.154706,0,0.000000,18202,16.087464,3740,2080,1660,8,113144,24246,24216
0,8,24,3.00,131072,0,17219,0,84.876112,0,0.000000,18055,15.858168,3684,2004,1680,8,113853,23861,23898
0,9,27,3.00,147456,0,20639,0,83.725368,0,0.000000,20261,15.976565,4148,2260,1888,9,126817,26855,27023
0,8,24,3.00,131072,0,18889,0,83.162333,0,0.000000,17985,16.031841,3747,1985,1762,8,112183,24079,23875
0,9,27,3.00,147456,0,23446,0,81.093460,0,0.000000,19856,16.011612,4673,2436,2237,9,124010,27102,27013
0,8,23,2.88,124303,0,18015,0,83.050768,0,0.000000,16910,15.909604,3661,1851,1810,8,106288,22746,23189
