Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,1008,0,11,0,98.896690,0,0.000000,119,11.935807,7,7,0,1,997,125,121
0,220,656,2.98,112640,0,10121,0,90.127684,0,0.000000,16086,15.690750,3353,2362,991,220,102519,20106,19274
0,242,724,2.99,123904,0,10863,0,90.390212,0,0.000000,17410,15.401491,3420,2412,1008,242,113041,21552,20634
0,239,712,2.98,122368,0,9090,0,91.975494,0,0.000000,16847,14.872261,3052,2239,813,239,113278,19911,19696
0,240,717,2.99,122880,0,9951,0,91.188269,0,0.000000,16799,14.875718,3186,2287,899,240,112929,20351,19805
0,236,705,2.99,120832,0,7571,0,93.315440,0,0.000000,16860,14.885971,2751,2158,593,236,113261,19458,19269
0,240,715,2.98,122880,0,9713,0,91.417109,0,0.000000,16719,14.773741,3158,2294,864,240,113167,19965,19445
0,238,712,2.99,121856,0,8663,0,92.346700,0,0.000000,16931,14.957639,2847,2062,785,238,113193,19641,19743
0,239,714,2.99,122368,0,9158,0,91.910609,0,0.000000,17014,15.028708,3117,2330,787,239,113210,20058,19650
0,238,712,2.99,121856,0,9645,0,91.404586,0,0.000000,16816,14.986053,3166,2273,893,238,112211,20006,19573
0,239,714,2.99,122059,0,8918,0,92.117800,0,0.000000,16896,14.933578,2978,2175,803,239,113141,19934,19605
