Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,16368,0,1950,0,86.475239,0,0.000000,2391,16.583437,572,321,251,1,14418,3115,3057
0,13,39,3.00,106496,0,16172,0,82.095567,0,0.000000,14834,16.423099,3695,2159,1536,13,90324,20816,19728
0,16,48,3.00,131072,0,18758,0,83.298609,0,0.000000,18147,16.157380,3777,2387,1390,16,112314,24877,23805
0,16,48,3.00,131072,0,18081,0,83.997841,0,0.000000,17847,15.795063,3938,2504,1434,16,112991,24285,23356
0,17,51,3.00,139264,0,22386,0,80.846695,0,0.000000,18408,15.749756,4488,2661,1827,17,116878,26088,24816
0,16,48,3.00,131072,0,18993,0,83.053917,0,0.000000,17609,15.711239,3701,2321,1380,16,112079,24383,23194
0,16,48,3.00,131072,0,19082,0,82.960979,0,0.000000,17632,15.744263,3492,2353,1139,16,111990,24064,22878
0,16,48,3.00,131072,0,17484,0,84.607529,0,0.000000,17849,15.713808,3317,2179,1138,16,113588,23937,22898
0,16,48,3.00,131072,0,17881,0,84.202808,0,0.000000,17755,15.685876,3837,2448,1389,16,113191,23801,22480
0,15,45,3.00,122880,0,14317,0,86.812266,0,0.000000,17098,15.749381,3172,2066,1106,15,108563,21938,21086
0,16,47,2.94,127741,0,17272,0,84.364844,0,0.000000,17319,15.677701,3713,2415,1298,16,110469,23133,22316
