Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,16368,0,2031,0,85.833856,0,0.000000,2293,15.993583,588,360,228,1,14337,3109,3062
0,14,42,3.00,114688,0,19667,0,79.302470,0,0.000000,14809,15.584976,4695,2552,2143,14,95021,21963,20941
0,16,48,3.00,131072,0,20618,0,81.333406,0,0.000000,16903,15.303203,4682,2486,2196,16,110454,23719,23227
0,17,51,3.00,139264,0,23262,0,79.946897,0,0.000000,17350,14.956639,5173,2744,2429,17,116002,24462,24635
0,16,48,3.00,131072,0,22001,0,79.828735,0,0.000000,16203,14.855461,4666,2425,2241,16,109071,23093,22863
0,17,51,3.00,139264,0,23193,0,80.018265,0,0.000000,17307,14.910701,5078,2670,2408,17,116071,24527,24199
0,16,48,3.00,131072,0,19765,0,82.242806,0,0.000000,16558,14.875974,4500,2387,2113,16,111307,22954,22619
0,16,48,3.00,131072,0,17475,0,84.616671,0,0.000000,17077,15.032967,4194,2461,1733,16,113597,22589,22350
0,16,48,3.00,131072,0,21656,0,80.207648,0,0.000000,16411,14.998720,4876,2588,2288,16,109416,23173,22405
0,17,51,3.00,139264,0,22071,0,81.166964,0,0.000000,17555,14.979564,4871,2620,2251,17,117193,24457,24017
0,16,47,2.94,130641,0,21675,0,80.108474,0,0.000000,16319,14.976231,4741,2445,2296,16,108966,23051,22379
