Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,1008,0,11,0,98.896690,0,0.000000,126,12.637914,5,5,0,1,997,134,127
0,233,698,3.00,119296,0,17221,0,83.129072,0,0.000000,16812,16.470242,4667,2799,1868,233,102075,23346,22154
0,246,738,3.00,125952,0,13124,0,88.368136,0,0.000000,18214,16.143156,3790,2533,1257,246,112828,23048,22282
0,251,750,2.99,128512,0,15557,0,86.227259,0,0.000000,17855,15.807180,4121,2612,1509,251,112955,23519,22539
0,254,760,2.99,130048,0,17418,0,84.535204,0,0.000000,17732,15.743585,4344,2673,1671,254,112630,23982,22899
0,255,765,3.00,130560,0,17895,0,84.116629,0,0.000000,17654,15.669463,4345,2598,1747,255,112665,23786,22662
0,249,747,3.00,127488,0,15223,0,86.440119,0,0.000000,17731,15.793881,3874,2408,1466,249,112265,22769,21803
0,249,747,3.00,127488,0,14765,0,86.901520,0,0.000000,17728,15.727048,3887,2462,1425,249,112723,22666,21803
0,256,768,3.00,131072,0,18839,0,83.214384,0,0.000000,17721,15.789474,4570,2702,1868,256,112233,23981,23030
0,244,730,2.99,124928,0,11736,0,89.631776,0,0.000000,17770,15.698989,3371,2365,1006,244,113192,21758,20963
0,253,758,3.00,129263,0,16841,0,85.019836,0,0.000000,17660,15.708669,4160,2539,1621,253,112422,23404,22456
