Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,2032,0,69,0,96.484972,0,0.000000,289,14.722364,28,23,5,1,1963,325,319
0,112,335,2.99,114688,0,13621,0,86.522802,0,0.000000,16606,16.430685,3928,2603,1325,112,101067,22052,20682
0,124,368,2.97,126976,0,13479,0,88.123915,0,0.000000,18337,16.156374,3839,2531,1308,124,113497,23233,22863
0,127,381,3.00,130048,0,17965,0,83.971700,0,0.000000,17658,15.754396,4461,2720,1741,127,112083,23790,23034
0,142,424,2.99,145408,0,32238,0,71.513652,0,0.000000,17808,15.735619,6483,3276,3207,142,113170,28732,27071
0,125,374,2.99,128000,0,15643,0,86.077414,0,0.000000,17682,15.737337,3961,2555,1406,125,112357,23390,22077
0,126,377,2.99,129024,0,16713,0,85.119000,0,0.000000,17683,15.744673,4156,2665,1491,126,112311,23479,22027
0,129,387,3.00,132096,0,19123,0,83.072947,0,0.000000,17854,15.803776,4595,2700,1895,129,112973,24408,23541
0,130,390,3.00,133120,0,21057,0,81.209677,0,0.000000,17660,15.758993,4986,2911,2075,130,112063,25108,23710
0,131,393,3.00,134144,0,20440,0,82.023500,0,0.000000,17924,15.763737,4881,2901,1980,131,113704,25220,24112
0,129,384,2.98,131167,0,18920,0,83.144316,0,0.000000,17561,15.644962,4475,2698,1777,129,112247,23749,22880
