Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,8176,0,911,0,87.460427,0,0.000000,1168,16.077082,248,150,98,1,7265,1588,1500
0,31,93,3.00,126976,0,28593,0,70.937052,0,0.000000,15305,15.556549,6040,2753,3287,31,98383,25179,24644
0,34,102,3.00,139264,0,27574,0,75.312024,0,0.000000,17157,15.361268,5778,2687,3091,34,111690,26271,25883
0,35,105,3.00,143360,0,29887,0,73.661576,0,0.000000,16909,14.901342,6159,2866,3293,35,113473,26885,26260
0,37,111,3.00,151552,0,37102,0,67.582350,0,0.000000,16935,14.796855,7003,2961,4042,37,114450,28289,27986
0,35,105,3.00,143360,0,31299,0,72.069676,0,0.000000,16541,14.760711,6174,2823,3351,35,112061,26187,26158
0,37,111,3.00,151552,0,38924,0,65.440210,0,0.000000,16830,14.942998,7159,2912,4247,37,112628,28506,28626
0,35,105,3.00,143360,0,30869,0,72.558694,0,0.000000,16924,15.044759,6516,3061,3455,35,112491,26504,25970
0,37,111,3.00,151552,0,37031,0,67.664446,0,0.000000,17043,14.881987,6984,2989,3995,37,114521,28237,27711
0,35,105,3.00,143360,0,30700,0,72.749867,0,0.000000,16947,15.042606,6073,2781,3292,35,112660,26667,26340
0,36,107,2.97,147151,0,36460,0,67.061459,0,0.000000,16606,15.002123,6962,2988,3974,36,110691,28008,26940
