Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,32752,0,3603,0,87.639370,0,0.000000,4604,15.794710,1043,691,352,1,29149,6312,5911
0,6,18,3.00,98304,0,16274,0,80.160917,0,0.000000,12819,15.627210,3834,2177,1657,6,82030,18419,17750
0,8,24,3.00,131072,0,22159,0,79.654403,0,0.000000,16601,15.242441,4755,2670,2085,8,108913,23987,22834
0,9,27,3.00,147456,0,24590,0,79.986327,0,0.000000,18302,14.895903,5367,3093,2274,9,122866,26004,24881
0,8,24,3.00,131072,0,23041,0,78.671863,0,0.000000,16045,14.852218,4765,2611,2154,8,108031,23299,22152
0,8,24,3.00,131072,0,21803,0,80.046491,0,0.000000,16166,14.794681,4694,2601,2093,8,109269,23384,22114
0,8,24,3.00,131072,0,20681,0,81.265683,0,0.000000,16457,14.907918,4543,2562,1981,8,110391,22905,22255
0,9,27,3.00,147456,0,25493,0,79.097759,0,0.000000,18355,15.049646,5462,3049,2413,9,121963,26303,25142
0,8,24,3.00,131072,0,24075,0,77.499369,0,0.000000,16022,14.974252,5141,2826,2315,8,106997,23580,22299
0,9,27,3.00,147456,0,27378,0,77.199820,0,0.000000,18002,14.991922,5572,2947,2625,9,120078,26746,25258
0,8,23,2.88,124264,0,23124,0,77.136642,0,0.000000,15094,14.923868,4800,2558,2242,8,101140,22480,21119
