Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,8176,0,371,0,95.246637,0,0.000000,1343,17.206919,143,90,53,1,7805,1485,1611
0,33,99,3.00,135168,0,31957,0,69.037215,0,0.000000,17541,16.995282,3868,1860,2008,33,103211,29029,30121
0,37,111,3.00,151552,0,35491,0,69.420391,0,0.000000,19402,16.717071,3605,1839,1766,37,116061,31658,32449
0,37,111,3.00,151552,0,33680,0,71.426632,0,0.000000,19243,16.325336,3596,1847,1749,37,117872,30875,31138
0,36,108,3.00,147456,0,31195,0,73.168130,0,0.000000,18887,16.245345,3769,1905,1864,36,116261,29353,30645
0,36,108,3.00,147456,0,29971,0,74.489509,0,0.000000,19099,16.256543,3397,1662,1735,36,117485,28891,29524
0,38,114,3.00,155648,0,36666,0,69.183574,0,0.000000,19450,16.347010,4040,2011,2029,38,118982,31406,32368
0,35,105,3.00,143360,0,27184,0,76.601019,0,0.000000,18852,16.227104,3182,1577,1605,35,116176,27870,29025
0,36,108,3.00,147456,0,28442,0,76.101971,0,0.000000,19204,16.135917,3315,1703,1612,36,119014,28518,29059
0,37,111,3.00,151552,0,35926,0,68.929134,0,0.000000,18848,16.300832,3644,1878,1766,37,115626,30502,31515
0,38,113,2.97,154245,0,38188,0,67.095479,0,0.000000,18818,16.214446,3716,1819,1897,38,116057,31476,31856
