Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,496,0,0,0,100.000000,0,0.000000,30,6.048387,0,0,0,1,496,30,34
0,434,1290,2.97,111104,0,4079,0,96.188741,0,0.000000,18228,17.031535,1490,1063,427,434,107025,19804,20684
0,473,1406,2.97,121088,0,3717,0,96.833119,0,0.000000,19631,16.725597,1459,1107,352,473,117371,21043,21641
0,470,1391,2.96,120320,0,3082,0,97.371160,0,0.000000,18983,16.191849,1241,993,248,470,117238,20347,20780
0,472,1408,2.98,120832,0,3355,0,97.144122,0,0.000000,19247,16.383633,1350,1113,237,472,117477,20717,21115
0,471,1396,2.96,120576,0,3005,0,97.444098,0,0.000000,19093,16.239549,1207,973,234,471,117571,20129,20784
0,471,1407,2.99,120576,0,3052,0,97.403084,0,0.000000,19079,16.234131,1226,986,240,471,117524,20229,20946
0,473,1411,2.98,121088,0,3937,0,96.639380,0,0.000000,19157,16.352400,1507,1220,287,473,117151,20709,20854
0,472,1405,2.98,120832,0,3448,0,97.062632,0,0.000000,19084,16.257752,1356,1107,249,472,117384,20370,21119
0,471,1404,2.98,120576,0,2843,0,97.585214,0,0.000000,19081,16.207011,1103,886,217,471,117733,20023,20886
0,473,1400,2.96,120857,0,3469,0,97.044843,0,0.000000,18924,16.120898,1285,977,308,473,117388,20156,20822
