Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,240,0,0,0,100.000000,0,0.000000,9,3.750000,0,0,0,1,240,9,12
0,858,2526,2.94,109824,0,7280,0,92.900609,0,0.000000,16859,16.440747,2878,2272,606,858,102544,20067,18875
0,935,2759,2.95,119680,0,6702,0,94.067872,0,0.000000,18275,16.175716,2693,2221,472,935,112978,21005,20066
0,934,2749,2.94,119552,0,6495,0,94.255110,0,0.000000,17826,15.767268,2537,2073,464,934,113057,20392,19395
0,933,2735,2.93,119424,0,6953,0,93.817962,0,0.000000,17684,15.723164,2788,2303,485,933,112471,20550,19281
0,929,2729,2.94,118912,0,6146,0,94.549776,0,0.000000,17724,15.717504,2496,2035,461,929,112766,20306,19048
0,931,2734,2.94,119168,0,6933,0,93.822783,0,0.000000,17670,15.743752,2673,2183,490,931,112235,20110,19196
0,932,2743,2.94,119296,0,6358,0,94.370362,0,0.000000,17918,15.865342,2533,2149,384,932,112938,20322,19250
0,933,2759,2.96,119424,0,7412,0,93.382852,0,0.000000,17576,15.691176,2934,2448,486,933,112012,20234,18964
0,932,2739,2.94,119296,0,6631,0,94.114410,0,0.000000,17798,15.797275,2607,2188,419,932,112665,20362,19372
0,929,2717,2.92,118836,0,5768,0,94.898645,0,0.000000,17691,15.646337,2334,1953,381,929,113068,19767,18980
