Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,48,0,0,0,100.000000,0,0.000000,2,4.166667,0,0,0,1,48,2,1
0,3379,8688,2.57,108128,0,5517,0,94.623383,0,0.000000,16852,16.423190,2615,2265,350,3379,102611,19370,18222
0,3695,9485,2.57,118240,0,5296,0,95.310951,0,0.000000,18226,16.137201,2422,2096,326,3695,112944,20230,19401
0,3706,9507,2.57,118592,0,5523,0,95.115372,0,0.000000,17843,15.780630,2535,2248,287,3706,113069,20129,19009
0,3713,9558,2.57,118816,0,5987,0,94.693740,0,0.000000,17716,15.701637,2619,2297,322,3713,112829,20458,18951
0,3693,9478,2.57,118176,0,5397,0,95.214535,0,0.000000,17795,15.778647,2397,2111,286,3693,112779,20061,18797
0,3698,9453,2.56,118336,0,5913,0,94.740400,0,0.000000,17641,15.691629,2591,2269,322,3698,112423,19805,18922
0,3700,9546,2.58,118400,0,5774,0,94.873297,0,0.000000,17874,15.870225,2644,2349,295,3700,112626,20114,18985
0,3710,9619,2.59,118720,0,6341,0,94.357487,0,0.000000,17681,15.733367,2734,2401,333,3710,112379,19959,19072
0,3717,9697,2.61,118944,0,6680,0,94.049740,0,0.000000,17710,15.775315,2736,2341,395,3717,112264,20330,19227
0,3701,9507,2.57,118400,0,5193,0,95.412828,0,0.000000,17704,15.638609,2314,2071,243,3701,113207,19820,18806
