Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,240,0,0,0,100.000000,0,0.000000,8,3.333333,0,0,0,1,240,8,11
0,858,2530,2.95,109824,0,2689,0,97.490083,0,0.000000,18274,17.056984,1102,832,270,858,107135,19296,20284
0,934,2750,2.94,119552,0,2488,0,97.874667,0,0.000000,19577,16.723331,1063,836,227,934,117064,20643,21080
0,935,2755,2.95,119680,0,2269,0,98.067472,0,0.000000,19045,16.220797,993,810,183,935,117411,20021,20375
0,934,2748,2.94,119552,0,2253,0,98.079268,0,0.000000,19170,16.342850,983,811,172,934,117299,20096,20465
0,932,2750,2.95,119296,0,2011,0,98.285373,0,0.000000,19073,16.262097,850,695,155,932,117285,19883,20313
0,933,2748,2.95,119424,0,1720,0,98.538707,0,0.000000,19075,16.205906,731,618,113,933,117704,19721,20466
0,929,2744,2.95,118912,0,2112,0,98.191781,0,0.000000,19131,16.379281,960,836,124,929,116800,19927,20157
0,933,2762,2.96,119424,0,1738,0,98.523189,0,0.000000,19071,16.204986,772,662,110,933,117686,19715,20249
0,934,2762,2.96,119552,0,1929,0,98.360015,0,0.000000,19047,16.193262,838,711,127,934,117623,19757,20523
0,931,2755,2.96,119048,0,1433,0,98.781618,0,0.000000,19000,16.154402,653,555,98,931,117615,19524,20336
