Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,1920,0,419,0,72.085276,0,0.000000,209,13.924051,71,47,24,1,1501,389,381
0,299,897,3.00,306176,0,200005,0,-88.380066,0,0.000000,18079,17.028190,28140,8875,19265,299,106171,89635,90204
0,301,902,3.00,308224,0,191371,0,-63.770720,0,0.000000,19418,16.617460,26643,8766,17877,301,116853,83948,83568
0,313,939,3.00,320512,0,203551,0,-74.033225,0,0.000000,19024,16.265251,27812,8810,19002,313,116961,86612,85844
0,310,930,3.00,317440,0,199895,0,-70.058276,0,0.000000,19172,16.310349,27876,8883,18993,310,117545,84836,85130
0,312,936,3.00,319488,0,202082,0,-72.122379,0,0.000000,19097,16.265779,28379,8827,19552,312,117406,84599,84740
0,311,932,3.00,318464,0,201112,0,-71.375009,0,0.000000,19184,16.347399,27909,8587,19322,311,117352,84280,85556
0,302,906,3.00,309248,0,192571,0,-65.046239,0,0.000000,19085,16.357123,27243,8603,18640,302,116677,80793,82790
0,318,954,3.00,325632,0,208040,0,-76.916797,0,0.000000,19184,16.314035,28104,8984,19120,318,117592,86128,87542
0,313,939,3.00,320512,0,204239,0,-75.654709,0,0.000000,18889,16.245388,27524,8817,18707,313,116273,84091,84833
0,315,944,3.00,320550,0,203474,0,-73.796508,0,0.000000,18919,16.159589,28251,8999,19252,315,117076,83413,85471
