Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,120,0,0,0,100.000000,0,0.000000,3,2.500000,0,0,0,1,120,3,2
0,1690,4923,2.91,108160,0,5000,0,95.153160,0,0.000000,16152,15.657231,2318,1944,374,1690,103160,18300,17803
0,1849,5382,2.91,118336,0,5183,0,95.419476,0,0.000000,17396,15.373874,2373,2063,310,1849,113153,19356,18899
0,1852,5401,2.92,118528,0,5156,0,95.452140,0,0.000000,16905,14.911089,2289,1967,322,1852,113372,18801,18461
0,1852,5397,2.91,118528,0,5745,0,94.906147,0,0.000000,16714,14.819609,2466,2108,358,1852,112783,18784,18144
0,1846,5391,2.92,118144,0,4766,0,95.796363,0,0.000000,16943,14.943816,2072,1768,304,1846,113378,18703,18406
0,1852,5387,2.91,118528,0,5568,0,95.070822,0,0.000000,16683,14.768945,2409,2055,354,1852,112960,18551,18111
0,1849,5403,2.92,118336,0,4803,0,95.769512,0,0.000000,16986,14.961289,2064,1747,317,1849,113533,18690,18443
0,1856,5422,2.92,118784,0,6138,0,94.551071,0,0.000000,16944,15.041812,2262,1896,366,1856,112646,18954,18474
0,1854,5435,2.93,118656,0,6222,0,94.466087,0,0.000000,16765,14.910970,2502,2135,367,1854,112434,18963,18303
0,1847,5413,2.93,118200,0,4780,0,95.785576,0,0.000000,17001,14.989420,2036,1786,250,1847,113420,18749,18156
