Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,960,0,20,0,97.872340,0,0.000000,101,10.744681,9,8,1,1,940,109,100
0,375,1124,3.00,192000,0,89559,0,12.575043,0,0.000000,16036,15.653889,15778,5445,10333,375,102441,45680,44847
0,371,1112,3.00,189952,0,77022,0,31.796688,0,0.000000,17286,15.306827,13716,5167,8549,371,112930,41084,40806
0,366,1097,3.00,187392,0,74188,0,34.465213,0,0.000000,16824,14.861666,12615,4988,7627,366,113204,39858,39387
0,372,1114,2.99,190464,0,77671,0,31.138457,0,0.000000,16790,14.885676,13430,5165,8265,372,112793,40026,39109
0,381,1140,2.99,195072,0,82173,0,27.215476,0,0.000000,16857,14.931045,14273,5034,9239,381,112899,40693,41257
0,369,1107,3.00,188928,0,75712,0,33.126060,0,0.000000,16949,14.970499,13393,4922,8471,369,113216,39513,38504
0,365,1095,3.00,186880,0,74291,0,34.015756,0,0.000000,16811,14.931299,13181,4861,8320,365,112589,38495,38373
0,364,1090,2.99,186368,0,73311,0,35.155718,0,0.000000,16964,15.004821,13277,4943,8334,364,113057,38866,38097
0,382,1141,2.99,195584,0,82521,0,27.013258,0,0.000000,16819,14.875777,14104,5086,9018,382,113063,41249,40445
0,374,1120,2.99,190660,0,78054,0,30.683978,0,0.000000,16768,14.890858,13679,4922,8757,374,112606,39814,39277
