Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,240,0,0,0,100.000000,0,0.000000,9,3.750000,0,0,0,1,240,9,12
0,858,2530,2.95,109824,0,7362,0,92.814897,0,0.000000,16882,16.476352,2936,2284,652,858,102462,20108,18914
0,934,2750,2.94,119552,0,6614,0,94.143689,0,0.000000,18266,16.173476,2630,2150,480,934,112938,21002,19914
0,935,2755,2.95,119680,0,6467,0,94.287758,0,0.000000,17849,15.765857,2596,2168,428,935,113213,20449,19367
0,934,2748,2.94,119552,0,7012,0,93.769326,0,0.000000,17711,15.737516,2763,2307,456,934,112540,20513,19279
0,932,2750,2.95,119296,0,6608,0,94.136022,0,0.000000,17735,15.738144,2619,2104,515,932,112688,20447,19191
0,933,2748,2.95,119424,0,6778,0,93.982920,0,0.000000,17700,15.712941,2727,2279,448,933,112646,20338,19502
0,929,2744,2.95,118912,0,6062,0,94.628268,0,0.000000,17856,15.822774,2452,2090,362,929,112850,20268,19153
0,933,2762,2.96,119424,0,7281,0,93.507397,0,0.000000,17692,15.776286,2848,2401,447,933,112143,20438,19069
0,934,2762,2.96,119552,0,7175,0,93.615242,0,0.000000,17729,15.776360,2817,2318,499,934,112377,20379,19378
0,931,2755,2.96,119062,0,5925,0,94.762986,0,0.000000,17729,15.670382,2373,2001,372,931,113137,19817,19155
