Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,60,0,0,0,100.000000,0,0.000000,2,3.333333,0,0,0,1,60,2,0
0,3376,9558,2.83,108032,0,4855,0,95.294494,0,0.000000,16136,15.639144,2210,1892,318,3376,103177,18178,17696
0,3695,10508,2.84,118240,0,5242,0,95.360980,0,0.000000,17402,15.400273,2477,2188,289,3695,112998,19302,18746
0,3699,10480,2.83,118368,0,4813,0,95.761525,0,0.000000,16935,14.913478,2207,1920,287,3699,113555,18647,18364
0,3700,10476,2.83,118400,0,5500,0,95.128432,0,0.000000,16719,14.808680,2482,2099,383,3700,112900,18549,18277
0,3690,10496,2.84,118080,0,4652,0,95.898720,0,0.000000,16947,14.940755,2099,1809,290,3690,113428,18577,18467
0,3697,10483,2.84,118304,0,5493,0,95.130794,0,0.000000,16660,14.768063,2542,2272,270,3697,112811,18604,17935
0,3684,10509,2.85,117888,0,4219,0,96.288346,0,0.000000,16996,14.952186,1922,1710,212,3684,113669,18460,18305
0,3703,10507,2.84,118496,0,5701,0,94.945698,0,0.000000,16917,14.998005,2320,2001,319,3703,112795,18743,18482
0,3702,10548,2.85,118464,0,6138,0,94.535548,0,0.000000,16794,14.951124,2677,2369,308,3702,112326,19122,18251
0,3684,10502,2.85,117883,0,4533,0,96.000882,0,0.000000,16940,14.944861,2146,1901,245,3684,113350,18484,18068
