Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,120,0,0,0,100.000000,0,0.000000,4,3.333333,0,0,0,1,120,4,2
0,1690,4923,2.91,108160,0,5585,0,94.555204,0,0.000000,16851,16.427980,2481,2086,395,1690,102575,19425,18156
0,1849,5382,2.91,118336,0,5434,0,95.186976,0,0.000000,18222,16.139661,2376,2102,274,1849,112902,20486,19426
0,1852,5401,2.92,118528,0,5563,0,95.075466,0,0.000000,17821,15.775683,2389,2102,287,1852,112965,20103,19031
0,1852,5397,2.91,118528,0,5796,0,94.858603,0,0.000000,17749,15.744420,2526,2165,361,1852,112732,19965,19041
0,1846,5391,2.92,118144,0,5442,0,95.171337,0,0.000000,17766,15.763695,2345,1993,352,1846,112702,20076,18882
0,1852,5387,2.91,118528,0,6045,0,94.625855,0,0.000000,17677,15.715264,2314,1962,352,1852,112483,19851,18895
0,1849,5403,2.92,118336,0,5648,0,94.987931,0,0.000000,17836,15.827772,2383,2079,304,1849,112688,19816,18901
0,1856,5422,2.92,118784,0,6392,0,94.312762,0,0.000000,17655,15.708413,2725,2351,374,1856,112392,20045,19009
0,1854,5435,2.93,118656,0,6368,0,94.328869,0,0.000000,17725,15.785302,2654,2298,356,1854,112288,19959,19087
0,1847,5413,2.93,118169,0,5171,0,95.423813,0,0.000000,17717,15.679039,2147,1875,272,1847,112998,19393,18789
